Mapped Name,Original Feature Name
feat_1,id
feat_2,numVoxelsOrig
feat_3,numVoxelsInterpReseg
feat_4,meanIntensityInterpReseg
feat_5,maxIntensityInterpReseg
feat_6,minIntensityInterpReseg
shape_1,original_shape_majorAxis
shape_2,original_shape_minorAxis
shape_3,original_shape_leastAxis
shape_4,original_shape_flatness
shape_5,original_shape_elongation
shape_6,original_shape_max2dDiameterAxialPlane
shape_7,original_shape_max2dDiameterSagittalPlane
shape_8,original_shape_max2dDiameterCoronalPlane
shape_9,original_shape_surfArea
shape_10,original_shape_max3dDiameter
shape_11,original_shape_volume
shape_12,original_shape_filledVolume
shape_13,original_shape_volumeDensityAABB
shape_14,original_shape_Compactness1
shape_15,original_shape_Compactness2
shape_16,original_shape_spherDisprop
shape_17,original_shape_sphericity
shape_18,original_shape_surfToVolRatio
first_1,original_firstOrder_min
first_2,original_firstOrder_max
first_3,original_firstOrder_mean
first_4,original_firstOrder_range
first_5,original_firstOrder_std
first_6,original_firstOrder_var
first_7,original_firstOrder_median
first_8,original_firstOrder_skewness
first_9,original_firstOrder_kurtosis
first_10,original_firstOrder_entropy
first_11,original_firstOrder_rms
first_12,original_firstOrder_energy
first_13,original_firstOrder_totalEnergy
first_14,original_firstOrder_meanAbsDev
first_15,original_firstOrder_medianAbsDev
first_16,original_firstOrder_P10
first_17,original_firstOrder_P90
first_18,original_firstOrder_robustMeanAbsDev
first_19,original_firstOrder_robustMedianAbsDev
first_20,original_firstOrder_interQuartileRange
first_21,original_firstOrder_coeffDispersion
first_22,original_firstOrder_coeffVariation
glcm_1,original_glcm_energy_3D_avg
glcm_2,original_glcm_energy_3D_Median
glcm_3,original_glcm_energy_3D_StdDev
glcm_4,original_glcm_energy_3D_Min
glcm_5,original_glcm_energy_3D_Max
glcm_6,original_glcm_jointEntropy_3D_avg
glcm_7,original_glcm_jointEntropy_3D_Median
glcm_8,original_glcm_jointEntropy_3D_StdDev
glcm_9,original_glcm_jointEntropy_3D_Min
glcm_10,original_glcm_jointEntropy_3D_Max
glcm_11,original_glcm_jointMax_3D_avg
glcm_12,original_glcm_jointMax_3D_Median
glcm_13,original_glcm_jointMax_3D_StdDev
glcm_14,original_glcm_jointMax_3D_Min
glcm_15,original_glcm_jointMax_3D_Max
glcm_16,original_glcm_jointAvg_3D_avg
glcm_17,original_glcm_jointAvg_3D_Median
glcm_18,original_glcm_jointAvg_3D_StdDev
glcm_19,original_glcm_jointAvg_3D_Min
glcm_20,original_glcm_jointAvg_3D_Max
glcm_21,original_glcm_jointVar_3D_avg
glcm_22,original_glcm_jointVar_3D_Median
glcm_23,original_glcm_jointVar_3D_StdDev
glcm_24,original_glcm_jointVar_3D_Min
glcm_25,original_glcm_jointVar_3D_Max
glcm_26,original_glcm_sumAvg_3D_avg
glcm_27,original_glcm_sumAvg_3D_Median
glcm_28,original_glcm_sumAvg_3D_StdDev
glcm_29,original_glcm_sumAvg_3D_Min
glcm_30,original_glcm_sumAvg_3D_Max
glcm_31,original_glcm_sumVar_3D_avg
glcm_32,original_glcm_sumVar_3D_Median
glcm_33,original_glcm_sumVar_3D_StdDev
glcm_34,original_glcm_sumVar_3D_Min
glcm_35,original_glcm_sumVar_3D_Max
glcm_36,original_glcm_sumEntropy_3D_avg
glcm_37,original_glcm_sumEntropy_3D_Median
glcm_38,original_glcm_sumEntropy_3D_StdDev
glcm_39,original_glcm_sumEntropy_3D_Min
glcm_40,original_glcm_sumEntropy_3D_Max
glcm_41,original_glcm_contrast_3D_avg
glcm_42,original_glcm_contrast_3D_Median
glcm_43,original_glcm_contrast_3D_StdDev
glcm_44,original_glcm_contrast_3D_Min
glcm_45,original_glcm_contrast_3D_Max
glcm_46,original_glcm_invDiffMom_3D_avg
glcm_47,original_glcm_invDiffMom_3D_Median
glcm_48,original_glcm_invDiffMom_3D_StdDev
glcm_49,original_glcm_invDiffMom_3D_Min
glcm_50,original_glcm_invDiffMom_3D_Max
glcm_51,original_glcm_invDiffMomNorm_3D_avg
glcm_52,original_glcm_invDiffMomNorm_3D_Median
glcm_53,original_glcm_invDiffMomNorm_3D_StdDev
glcm_54,original_glcm_invDiffMomNorm_3D_Min
glcm_55,original_glcm_invDiffMomNorm_3D_Max
glcm_56,original_glcm_invDiff_3D_avg
glcm_57,original_glcm_invDiff_3D_Median
glcm_58,original_glcm_invDiff_3D_StdDev
glcm_59,original_glcm_invDiff_3D_Min
glcm_60,original_glcm_invDiff_3D_Max
glcm_61,original_glcm_invDiffNorm_3D_avg
glcm_62,original_glcm_invDiffNorm_3D_Median
glcm_63,original_glcm_invDiffNorm_3D_StdDev
glcm_64,original_glcm_invDiffNorm_3D_Min
glcm_65,original_glcm_invDiffNorm_3D_Max
glcm_66,original_glcm_invVar_3D_avg
glcm_67,original_glcm_invVar_3D_Median
glcm_68,original_glcm_invVar_3D_StdDev
glcm_69,original_glcm_invVar_3D_Min
glcm_70,original_glcm_invVar_3D_Max
glcm_71,original_glcm_dissimilarity_3D_avg
glcm_72,original_glcm_dissimilarity_3D_Median
glcm_73,original_glcm_dissimilarity_3D_StdDev
glcm_74,original_glcm_dissimilarity_3D_Min
glcm_75,original_glcm_dissimilarity_3D_Max
glcm_76,original_glcm_diffEntropy_3D_avg
glcm_77,original_glcm_diffEntropy_3D_Median
glcm_78,original_glcm_diffEntropy_3D_StdDev
glcm_79,original_glcm_diffEntropy_3D_Min
glcm_80,original_glcm_diffEntropy_3D_Max
glcm_81,original_glcm_diffVar_3D_avg
glcm_82,original_glcm_diffVar_3D_Median
glcm_83,original_glcm_diffVar_3D_StdDev
glcm_84,original_glcm_diffVar_3D_Min
glcm_85,original_glcm_diffVar_3D_Max
glcm_86,original_glcm_diffAvg_3D_avg
glcm_87,original_glcm_diffAvg_3D_Median
glcm_88,original_glcm_diffAvg_3D_StdDev
